set_num,n_unique_colors,dominant_color_name,dominant_color_share,n_trans_parts
0003977811-1,1,Flat Silver,100.0,0
001-1,5,White,39.53,0
0012-1,1,Black,100.0,0
0013-1,1,Black,100.0,0
0014-1,1,Black,100.0,0
0015-1,1,Black,100.0,0
0016-1,1,Light Gray,100.0,0
002-1,1,White,100.0,0
003-1,7,White,42.68,12
004-1,7,Red,44.68,26
005-1,3,Red,48.57,0
01-1,1,Black,100.0,0
01-2,1,Black,100.0,0
010-1,7,Red,43.86,4
010-2,4,Red,38.89,0
010-3,7,Red,44.16,4
010423-1,16,Tan,50.81,1
011-1,7,Red,46.9,8
02-1,2,Black,50.0,0
02-2,2,Yellow,66.67,0
020-1,7,Red,44.68,9
021-1,8,Red,51.91,21
022-1,7,Red,47.27,10
0241187567-1,8,Dark Bluish Gray,21.43,3
0241357594-1,10,Red,51.52,7
028-1,5,Blue,28.57,0
03-1,2,White,60.0,0
030-2,4,Red,37.93,0
03093-1,11,[No Color/Any Color],22.22,6
032-1,4,Red,42.86,0
033-1,7,Brown,28.57,0
033-2,7,Red,45.2,6
04-1,5,Blue,30.77,0
041-1,2,Red,50.0,0
041-2,1,Red,100.0,0
042-1,3,Blue,77.78,0
044-1,7,Red,41.33,12
044-2,3,Red,40.0,0
045-1,10,Yellow,25.76,0
045-2,2,Trans-Clear,97.3,36
047-1,1,Red,100.0,0
049-1,2,Red,55.56,0
05-1,1,Red,100.0,0
050-2,3,White,50.0,1
051-1,1,Red,100.0,0
052-1,2,White,98.0,0
053-1,2,Blue,98.0,0
054-1,2,Yellow,98.0,0
055-1,2,Green,96.0,0
055-2,7,Red,36.33,15
057-1,4,White,35.29,0
058-1,3,Red,34.62,0
06-1,1,Light Gray,100.0,0
060-1,2,White,93.33,0
060-3,3,Blue,33.33,0
061-1,1,Green,100.0,0
062-1,1,White,100.0,0
063-1,1,Blue,100.0,0
063-2,3,Yellow,50.0,0
065-1,2,Light Gray,66.67,0
066-1,8,Red,48.89,17
066-2,8,Red,48.89,17
07-1,1,Black,100.0,0
071-1,4,Blue,25.0,0
074-1,3,Red,35.0,0
075-1,4,Red,52.94,0
0756668530-1,16,Black,28.38,14
0756672805-1,17,Reddish Brown,19.61,8
0756682762-1,15,Black,35.42,3
077-1,4,Red,38.1,0
078-1,1,Green,100.0,0
08-1,1,Black,100.0,0
080-1,8,Red,27.81,5
080-2,8,Red,27.81,5
080-3,5,Yellow,37.5,0
082-1,5,Red,42.86,0
085-1,2,Red,75.0,0
086-1,3,Blue,33.33,0
088-1,8,Red,41.63,35
09-1,5,Green,27.27,0
1-1,5,Black,41.38,6
1-11,6,Red,30.56,1
1-12,6,White,34.04,0
1-3,4,Red,54.05,4
1-7,6,Red,36.45,0
1-8,3,Red,59.7,0
10-1,7,Red,24.81,4
10-2,2,White,85.71,0
100-1,4,Light Gray,40.0,0
100-2,4,Light Gray,48.15,0
1000-1,2,White,94.06,0
10000-1,9,Light Gray,42.8,0
10001-1,11,Black,42.59,37
10002-1,8,Light Gray,39.19,22
10003-1,1,Sand Red,100.0,0
10004-1,1,Sand Red,100.0,0
10005-1,1,Sand Red,100.0,0
10006-1,1,Sand Red,100.0,0
10007-1,1,Sand Red,100.0,0
10008-1,1,Sand Red,100.0,0
10009-1,1,Blue,100.0,0
10010-1,1,Yellow,100.0,0
10011-1,1,Blue,100.0,0
10012-1,1,Yellow,100.0,0
10013-1,5,Black,42.15,0
10014-1,8,Black,37.65,16
10015-1,9,Black,37.63,25
10016-1,5,Black,36.72,0
10017-1,6,Black,40.35,0
10018-1,11,Black,66.11,2
10019-1,12,White,37.07,11
10020-1,10,Light Gray,39.11,9
10020-2,10,Light Gray,38.8,10
10021-1,6,Black,59.38,0
10022-1,13,Light Gray,40.63,36
10023-1,7,Black,29.73,3
10024-1,10,Red,57.01,0
10025-1,12,Light Gray,46.01,18
10026-1,9,Yellow,32.45,2
10027-1,13,Dark Gray,36.01,34
10029-1,10,Light Gray,43.11,4
10030-1,12,Light Gray,55.04,20
10036-1,12,White,58.27,5
10037-1,11,White,36.57,28
10039-1,8,Light Gray,74.0,0
10040-1,9,Black,64.55,12
10041-1,12,Red,25.66,23
10042-1,3,White,51.43,0
10043-1,1,Black,100.0,0
10044-1,4,Red,40.91,6
10045-1,2,Black,76.92,0
10046-1,1,Brown,100.0,0
10047-1,1,Light Gray,100.0,0
10048-1,2,Black,52.46,0
10049-1,4,Black,38.71,0
10050-1,1,Light Gray,100.0,0
10051-1,1,Trans-Clear,100.0,50
10052-1,6,Yellow,28.57,4
10053-1,1,Black,100.0,0
10054-1,1,Black,100.0,0
10055-1,1,Black,100.0,0
10056-1,1,White,100.0,0
10057-1,1,Black,100.0,0
10058-1,1,Red,100.0,0
10059-1,1,Green,100.0,0
10060-1,1,Light Gray,100.0,0
10061-1,1,Black,100.0,0
10062-1,1,Red,100.0,0
10063-1,1,Green,100.0,0
